psid,study1,scholarshipCondition,gpa1,gpa2,gpa1value,gpa2value,name1,name2,club1,club2,scholarship,Q40,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q13,Q14,Q103_4,Q42,Q46,Q48,Q50,Q52_1,Q52_2,Q54,Q56,Q58,Q60_1,Q60_2,Q62,Q64,Q66,Q68_1,Q68_2,Q70,Q72,Q74,Q76_1,Q76_2,Q78,Q126,Q72,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98_1,Q98_2,Q100,Q102,Q104,Q106_1,Q106_2,Q108,Q110,Q112,Q114_1,Q114_2,Q116,Q118,Q120,Q122_1,Q122_2,Q124
EQMtgbNuEMs163qXW3M6iw**,,,,,,,,,,,,,1,2,7,16,2,5,6,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs16FwNHZkblQ**,1,2,2,1,3.5,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,7,1,1,7,1,2,2,2,2,,1,,0,70,0,40,50,60,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs1a_ojDOXikg**,3,,,,,,,,,,,,1,1,1,6,1,3,3,2,4,2,,,1,30,100,100,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,2,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1
EQMtgbNuEMs1anKlL3TA_Q**,3,,,,,,,,,,,,1,2,1,35,1,1,3,2,1,,,2,71,42,70,63,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,1,10,0,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1
EQMtgbNuEMs1bP_S60v-ug**,3,,,,,,,,,,,,1,1,1,63,1,3,4,3,2,,2,,0,61,19,60,81,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,0,10,1,1,1,5,5,1,1,1,5,5,1,1,1,3,7,1
EQMtgbNuEMs1dKaJQqkjBQ**,1,1,1,1,4,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,2,52,1,2,5,5,1,,,2,90,3,3,80,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs1gf1KWToKpw**,1,2,2,2,3.5,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,1,67,1,1,3,2,4,3,,,15,50,50,76,24,50,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs1givIZHJ70Q**,3,,,,,,,,,,,,7,2,3,10,1,1,1,6,1,,,2,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,4,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs1Knms5EaVRQ**,2,,,,,,,,,,,,1,2,3,12,1,3,2,1,2,,1,,5,75,8,72,57,58,,,,1,1,1,1,10,0,1,1,1,5,5,1,1,1,8,2,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs1lFPqlBWt_g**,2,,,,,,,,,,,,1,1,1,27,1,6,2,3,3,3,,,37,38,39,50,14,32,,,,1,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs1NvFcmdAH5Q**,3,,,,,,,,,,,,1,2,1,51,1,6,2,2,1,,,2,9,61,61,61,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs1oJSVVurXnA**,3,,,,,,,,,,,,1,1,1,32,1,1,2,3,3,2,,,0,60,0,76,89,79,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1
EQMtgbNuEMs1TXq-XOEm0w**,2,,,,,,,,,,,,1,2,3,14,2,1,5,3,3,3,,,100,26,32,14,55,11,,,,1,1,1,1,10,0,1,,,,,,1,1,10,0,1,1,1,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
